
Devices
1500
,,Myon - Voltage,,,,,,,,,,,,,,,,Contrex - Angle,Contrex - Angular Velocity,Contrex - Force,
Frame,Sub Frame,LTibA1,LPer2,LSol3,LGas4,LRec5,LVas6,LHam7,LGlut8,RTibA9,RPer10,RSol11,RGas12,RRec13,RVas14,RHam15,RGlut16,Angle,Angular velocity,Torque
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,deg,deg/s,N
3,0,1.63269e-05,0.000185547,5.05066e-05,4.27246e-06,9.30786e-06,-0.000153809,4.92859e-05,7.69043e-05,-7.21741e-05,1.51062e-05,7.01904e-06,4.88281e-06,-9.61304e-05,6.86645e-06,0.000228424,-0.000390015,30.6771,0.147467,15.1695
3,1,1.69373e-05,0.000172424,4.22668e-05,1.75476e-05,9.61304e-06,-0.00015564,5.0354e-06,9.26209e-05,-0.000108337,-2.56348e-05,1.05286e-05,9.18579e-05,-3.96729e-05,5.64575e-06,0.000163727,-0.000382385,30.6724,0.151212,15.1573
3,2,2.57874e-05,0.000189819,2.47192e-05,-6.11877e-05,9.46045e-06,-0.000270538,-0.000144348,9.73511e-05,-6.80542e-05,-0.00012207,9.46045e-06,0.000149994,-9.52148e-05,3.05176e-06,0.000155182,-0.000375366,30.668,0.1544,15.1454
3,3,2.73132e-05,0.000171356,1.38855e-05,-0.000163422,8.8501e-06,-0.00019455,-0.000220795,4.89807e-05,-3.18909e-05,-0.000158081,7.93457e-06,0.000121613,-0.00011261,7.32422e-06,0.000182648,-0.000374756,30.6638,0.157042,15.1339
3,4,2.63977e-05,0.000108643,1.05286e-05,-0.000271149,8.8501e-06,-0.000180359,-0.000206451,0.000168152,-0.000100708,-0.000275879,5.95093e-06,5.35583e-05,3.67737e-05,7.78198e-06,0.000113678,-0.000367126,30.66,0.159149,15.1229
3,5,1.60217e-05,9.01794e-05,1.63269e-05,-0.000596161,7.93457e-06,-0.000156555,-0.0002948,0.000187378,-7.99561e-05,-0.000149536,9.76562e-06,-3.26538e-05,9.61304e-06,6.86645e-06,0.000184937,-0.000362244,30.6564,0.160729,15.1123
3,6,1.38855e-05,6.48499e-05,3.06702e-05,-0.000571899,5.64575e-06,-0.000273285,-0.000307922,8.86536e-05,-6.10352e-05,-5.44739e-05,9.76562e-06,0.00016037,-6.56128e-06,7.32422e-06,0.000140076,-0.000354462,30.6531,0.161794,15.1021
3,7,1.57166e-05,4.05884e-05,3.61633e-05,-0.000455322,9.76562e-06,-0.000236206,-0.00022995,0.000128784,-0.000128021,-6.72913e-05,7.62939e-06,0.000113831,-0.000131378,7.62939e-06,0.000127411,-0.000352936,30.6502,0.162364,15.0924
3,8,9.91821e-06,0.000184479,2.80762e-05,-1.2207e-06,6.56128e-06,-0.000123291,-0.000328522,0.000136719,-0.000137024,9.91821e-06,7.47681e-06,2.24304e-05,-5.56946e-05,9.46045e-06,8.95691e-05,-0.000346375,30.6476,0.162469,15.0831
3,9,4.27246e-06,0.000195313,2.71606e-05,5.08118e-05,6.40869e-06,-0.000112762,-0.000334473,0.000130157,-0.000124664,1.37329e-05,7.62939e-06,0.00013092,0.000115662,9.30786e-06,-2.2583e-05,-0.000345459,30.6454,0.162149,15.0743
